URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://mos.esante.gouv.fr/NOS/JDV_J128-TypeCarte-RASS/FHIR/JDV-J128-TypeCarte-RASS,20201127120000,active,"1.2.250.1.213.1.6.1.214",JDV_J128_TypeCarte_RASS,,"Type de carte dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J129-CategorieEtablissement-RASS/FHIR/JDV-J129-CategorieEtablissement-RASS,20241025120000,active,"1.2.250.1.213.1.6.1.215",JDV_J129_CategorieEtablissement_RASS,,"Catégorie d'établissement du RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J13-ResponsableConsent-CISIS/FHIR/JDV-J13-ResponsableConsent-CISIS,20200424120000,active,"1.2.250.1.213.1.1.5.23",JDV_J13_ResponsableConsent_CISIS,,"Responsable consentement - CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J130-CNAMAmeliSecteurConventionnement-RASS/FHIR/JDV-J130-CNAMAmeliSecteurConventionnement-RASS,20201127120000,active,"1.2.250.1.213.1.6.1.216",JDV_J130_CNAMAmeliSecteurConventionnement_RASS,,"Secteur de conventionnement du professionnel libéral",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J131-CategorieActiviteSanitaireRegulee-RASS/FHIR/JDV-J131-CategorieActiviteSanitaireRegulee-RASS,20201127120000,active,"1.2.250.1.213.1.6.1.217",JDV_J131_CategorieActiviteSanitaireRegulee_RASS,,"Catégorie des activités sanitaires régulées dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J132-ModaliteActivite-RASS/FHIR/JDV-J132-ModaliteActivite-RASS,20220325120000,active,"1.2.250.1.213.1.6.1.218",JDV_J132_ModaliteActivite_RASS,,"Mode d'application ou type de soins encadrant une activité dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J133-ActiviteSanitaireRegulee-RASS/FHIR/JDV-J133-ActiviteSanitaireRegulee-RASS,20201127120000,active,"1.2.250.1.213.1.6.1.219",JDV_J133_ActiviteSanitaireRegulee_RASS,,"Activités sanitaires soumises à une régulation de la part de l'ARS dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J134-FormeActivite-RASS/FHIR/JDV-J134-FormeActivite-RASS,20240628120000,active,"1.2.250.1.213.1.6.1.220",JDV_J134_FormeActivite_RASS,,"Type d'organisation de prise en charge du RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J135-EquipementMaterielLourd-RASS/FHIR/JDV-J135-EquipementMaterielLourd-RASS,20201127120000,active,"1.2.250.1.213.1.6.1.221",JDV_J135_EquipementMaterielLourd_RASS,,"Equipements Matériels Lourds dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J136-DisciplineEquipementSocial-RASS/FHIR/JDV-J136-DisciplineEquipementSocial-RASS,20220930120000,active,"1.2.250.1.213.1.6.1.222",JDV_J136_DisciplineEquipementSocial_RASS,,"Disciplines d'équipement pour le social dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J137-Clientele-RASS/FHIR/JDV-J137-Clientele-RASS,20240927120000,active,"1.2.250.1.213.1.6.1.223",JDV_J137_Clientele_RASS,,"Population prise en charge par l'établissement dans le cadre",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J138-TypeActivite-RASS/FHIR/JDV-J138-TypeActivite-RASS,20240223120000,active,"1.2.250.1.213.1.6.1.224",JDV_J138_TypeActivite_RASS,,"Type d'activité dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J139-TypeBAL-RASS/FHIR/JDV-J139-TypeBAL-RASS,20231124120000,active,"1.2.250.1.213.1.6.1.225",JDV_J139_TypeBAL_RASS,,"Type de boîte aux lettres dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J14-QualiteRepresentantLegal-CISIS/FHIR/JDV-J14-QualiteRepresentantLegal-CISIS,20241213120000,active,"1.2.250.1.213.1.1.5.468",JDV_J14_QualiteRepresentantLegal_CISIS,,"Qualité représentant légal - CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J140-EncounterParticipationType-CISIS/FHIR/JDV-J140-EncounterParticipationType-CISIS,20210326120000,active,"1.2.250.1.213.1.1.5.528",JDV_J140_EncounterParticipationType_CISIS,,"JDV_J140-EncounterParticipationType-CISIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J141-RoleClass-CISIS/FHIR/JDV-J141-RoleClass-CISIS,20210326120000,active,"1.2.250.1.213.1.1.5.588",JDV_J141_RoleClass_CISIS,,"RoleClassAssociative CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J142-TypeRencontre-CISIS/FHIR/JDV-J142-TypeRencontre-CISIS,20210326120000,active,"1.2.250.1.213.1.1.5.589",JDV_J142_TypeRencontre_CISIS,,"Type de prise en charge CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J143-AdministrativeGender-CISIS/FHIR/JDV-J143-AdministrativeGender-CISIS,20210326120000,active,"1.2.250.1.213.1.1.5.590",JDV_J143_AdministrativeGender_CISIS,,"Sexe administratif CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J144-ParticipationType-CISIS/FHIR/JDV-J144-ParticipationType-CISIS,20210326120000,active,"1.2.250.1.213.1.1.5.591",JDV_J144_ParticipationType_CISIS,,"Type de participation CI-SIS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J145-MethodBodyWeight-ENS/FHIR/JDV-J145-MethodBodyWeight-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.600",JDV_J145_MethodBodyWeight_ENS,,"JDV pour la méthode de mesure du poids",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J146-MethodBodyHeight-ENS/FHIR/JDV-J146-MethodBodyHeight-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.601",JDV_J146_MethodBodyHeight_ENS,,"JDV pour la méthode de mesure de la taille",,"Internal,Other"
https://mos.esante.gouv.fr/NOS/JDV_J147-MethodHeartrate-ENS/FHIR/JDV-J147-MethodHeartrate-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.602",JDV_J147_MethodHeartrate_ENS,,"JDV pour la méthode de mesure de fréquence cardiaque",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J148-ReferenceRangeAppliesTo-CISIS/FHIR/JDV-J148-ReferenceRangeAppliesTo-CISIS,20250131120000,retired,"1.2.250.1.213.1.1.5.603",JDV_J148_ReferenceRangeAppliesTo_CISIS,,"JDV pour le champ d'application de l'intervalle de référence",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J149-BodySiteBP-ENS/FHIR/JDV-J149-BodySiteBP-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.604",JDV_J149_BodySiteBP_ENS,,"JDV pour la localisation de la mesure de la pression artérielle",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J15-ClasseAge-ROR/FHIR/JDV-J15-ClasseAge-ROR,20200424120000,active,"1.2.250.1.213.3.4.3",JDV_J15_ClasseAge_ROR,,"Classe d'âge - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J150-MethodBP-ENS/FHIR/JDV-J150-MethodBP-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.605",JDV_J150_MethodBP_ENS,,"JDV pour la méthode de mesure de la pression artérielle",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J151-BodySiteBodyTemperature-ENS/FHIR/JDV-J151-BodySiteBodyTemperature-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.606",JDV_J151_BodySiteBodyTemperature_ENS,,"JDV de localisation de la mesure de la température",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J152-MethodBodyTemperature-ENS/FHIR/JDV-J152-MethodBodyTemperature-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.607",JDV_J152_MethodBodyTemperature_ENS,,"JDV pour la méthode de la mesure de la température",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J153-TypeDiabete-ENS/FHIR/JDV-J153-TypeDiabete-ENS,20230630120000,retired,"1.2.250.1.213.1.1.5.608",JDV_J153_TypeDiabete_ENS,,"JDV pour caractériser le type de diabète dans l'extension DiabetisType",,"Other"
https://mos.esante.gouv.fr/NOS/JDV_J154-TypeGlucose-ENS/FHIR/JDV-J154-TypeGlucose-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.609",JDV_J154_TypeGlucose_ENS,,"JDV pour caractériser le type de glucose",,"Internal,LOINC"
https://mos.esante.gouv.fr/NOS/JDV_J155-MethodGlucoseSanguin-ENS/FHIR/JDV-J155-MethodGlucoseSanguin-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.610",JDV_J155_MethodGlucoseSanguin_ENS,,"JDV pour la méthode de mesure du glucose sanguin",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J156-MethodGlucoseInterstitiel-ENS/FHIR/JDV-J156-MethodGlucoseInterstitiel-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.611",JDV_J156_MethodGlucoseInterstitiel_ENS,,"JDV pour la méthode de mesure du glucose interstitiel",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J157-MomentGlucose-ENS/FHIR/JDV-J157-MomentGlucose-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.612",JDV_J157_MomentGlucose_ENS,,"JDV pour caractériser le moment de la mesure de glucose",,"Internal,LOINC"
https://mos.esante.gouv.fr/NOS/JDV_J158-MethodStepsByDay-ENS/FHIR/JDV-J158-MethodStepsByDay-ENS,20240726120000,active,"1.2.250.1.213.1.1.5.613",JDV_J158_MethodStepsByDay_ENS,,"JDV pour la méthode de la mesure de nombre de pas par jour",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J159-MethodPainSeverity-ENS/FHIR/JDV-J159-MethodPainSeverity-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.614",JDV_J159_MethodPainSeverity_ENS,,"JDV pour la méthode de la mesure du niveau de douleur",,"Other"
https://mos.esante.gouv.fr/NOS/JDV_J16-ActeSpecifique-ROR/FHIR/JDV-J16-ActeSpecifique-ROR,20250131120000,active,"1.2.250.1.213.3.4.4",JDV_J16_ActeSpecifique_ROR,,"Acte spécifique - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J161-Lateralite-CISIS/FHIR/JDV-J161-Lateralite-CISIS,20230630120000,active,"1.2.250.1.213.1.1.5.616",JDV_J161_Lateralite_CISIS,,"JDV pour spécifier la latéralité",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J162-ESPIC-RASS/FHIR/JDV-J162-ESPIC-RASS,20210528120000,active,"1.2.250.1.213.1.6.1.226",JDV_J162_ESPIC_RASS,,"Etablissement de santé privée d'intérêt collectif dans le RASS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J163-GlucoseUnits-ENS/FHIR/JDV-J163-GlucoseUnits-ENS,20240927120000,active,"1.2.250.1.213.1.1.5.639",JDV_J163_GlucoseUnits_ENS,,"Liste fermée des unités utilisables pour la mesure du glucose avec le profil ENS_ObservationGlucose",,"UCUM"
https://mos.esante.gouv.fr/NOS/JDV_J164-GlucoseNumberOfDays-ENS/FHIR/JDV-J164-GlucoseNumberOfDays-ENS,20241213120000,active,"1.2.250.1.213.1.1.5.640",JDV_J164_GlucoseNumberOfDays_ENS,,"Liste fermée des codes utilisables pour la mesure du taux de glucose interstitiel et de l'index de gestion de glycémie (IGG) avec le profil ENS_ObservationGlucose",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J165-TypeCreneau-SAS/FHIR/JDV-J165-TypeCreneau-SAS,20240726120000,active,"1.2.250.1.213.3.4.10",JDV_J165_TypeCreneau_SAS,,"Type de créneaux de soins définis par un professionnel de santé ou son délégataire dans son logiciel de prise de RDV selon la visibilité associée",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J166-Profession-EPARS/FHIR/JDV-J166-Profession-EPARS,20250131120000,active,"1.2.250.1.213.1.6.1.227",JDV_J166_Profession_EPARS,,"Profession pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J167-DepartementOM-EPARS/FHIR/JDV-J167-DepartementOM-EPARS,20240126120000,retired,"1.2.250.1.213.1.6.1.228",JDV_J167_DepartementOM_EPARS,,"Département pour saisie dans EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J168-Pays-EPARS/FHIR/JDV-J168-Pays-EPARS,20240126120000,retired,"1.2.250.1.213.1.6.1.229",JDV_J168_Pays_EPARS,,"Pays pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J169-MotifFinActivite-EPARS/FHIR/JDV-J169-MotifFinActivite-EPARS,20210625120000,active,"1.2.250.1.213.1.6.1.230",JDV_J169_MotifFinActivite_EPARS,,"Motifs de fin d'activités pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J17-ActiviteOperationnelle-ROR/FHIR/JDV-J17-ActiviteOperationnelle-ROR,20241213120000,active,"1.2.250.1.213.3.4.5",JDV_J17_ActiviteOperationnelle_ROR,,"Activité Operationnelle - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J170-AutoriteEnregistrement-EPARS/FHIR/JDV-J170-AutoriteEnregistrement-EPARS,20250131120000,active,"1.2.250.1.213.1.6.1.231",JDV_J170_AutoriteEnregistrement_EPARS,,"Liste des autorités d'enregistrement pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J171-TypeAutorisation-EPARS/FHIR/JDV-J171-TypeAutorisation-EPARS,20250131120000,active,"1.2.250.1.213.1.6.1.232",JDV_J171_TypeAutorisation_EPARS,,"Types d'autorisation d'exercice pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J172-SecteurActivite-EPARS/FHIR/JDV-J172-SecteurActivite-EPARS,20241213120000,active,"1.2.250.1.213.1.6.1.233",JDV_J172_SecteurActivite_EPARS,,"Secteur d'activité pour EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J173-FinessStatutJuridique-EPARS/FHIR/JDV-J173-FinessStatutJuridique-EPARS,20210625120000,active,"1.2.250.1.213.1.6.1.234",JDV_J173_FinessStatutJuridique_EPARS,,"Statut juridique FINESS dans EPARS",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J176-SituationVieQuotidienne-MDPH/FHIR/JDV-J176-SituationVieQuotidienne-MDPH,20210924120000,active,"1.2.250.1.213.3.4.11",JDV_J176_SituationVieQuotidienne_MDPH,,"Caractérise la situation de vie de la personne : vit seule ou avec d'autres",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J177-BesoinAideMobilite-MDPH/FHIR/JDV-J177-BesoinAideMobilite-MDPH,20210924120000,active,"1.2.250.1.213.3.4.12",JDV_J177_BesoinAideMobilite_MDPH,,"La personne a besoin d'aide pour se déplacer à l'intérieur de son domicile",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J178-BesoinAideVieSociale-MDPH/FHIR/JDV-J178-BesoinAideVieSociale-MDPH,20210924120000,active,"1.2.250.1.213.3.4.13",JDV_J178_BesoinAideVieSociale_MDPH,,"Caractérise les besoins d'aide de la personne en matière de vie sociale",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J179-BesoinCommunication-MDPH/FHIR/JDV-J179-BesoinCommunication-MDPH,20210924120000,active,"1.2.250.1.213.3.4.14",JDV_J179_BesoinCommunication_MDPH,,"Caractérise les besoins d'aide de la personne en matière de scolarité, en lien avec la communication",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J18-EquipementSpecifique-ROR/FHIR/JDV-J18-EquipementSpecifique-ROR,20250131120000,active,"1.2.250.1.213.3.4.6",JDV_J18_EquipementSpecifique_ROR,,"Equipement spécifique - ROR",,"Internal"
https://mos.esante.gouv.fr/NOS/JDV_J180-BesoinEntretienPersonnel-MDPH/FHIR/JDV-J180-BesoinEntretienPersonnel-MDPH,20210924120000,active,"1.2.250.1.213.3.4.15",JDV_J180_BesoinEntretienPersonnel_MDPH,,"Caractérise les besoins d'aide de la personne en matière de scolarité, en lien avec l'entretien personnel",,"Internal"
